sep=;
Astrée Analysis Report
1. Results
1.1. Control flow
Caller;Callee;Call site;Process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_RteSwitch;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_SchMSwitch;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_SdClientServiceModeRequest;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_SdConsumedEventGroupModeRequest;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_SdServerServiceModeRequest;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_Action;BswM_Prv_Action_UserCallout;ALL_bc_with_context.c:81729.12-119;main-process
BswM_Prv_Evaluate_ActionList;BswM_Prv_Evaluate_Action;ALL_bc_with_context.c:81791.31-155;Process 42
BswM_Prv_Evaluate_ActionList;BswM_Prv_Evaluate_Action;ALL_bc_with_context.c:81791.31-155;main-process
BswM_Prv_Evaluate_Rule;BswM_Cfg_LE_LE_ComM_CommunicationAllowed_ComChannel_LP;ALL_bc_with_context.c:81858.15-76;Process 42
BswM_Prv_Evaluate_Rule;BswM_Cfg_LE_LE_ComM_CommunicationAllowed_ComChannel_PT;ALL_bc_with_context.c:81858.15-76;Process 42
BswM_Prv_Evaluate_Rule;BswM_Cfg_LE_LE_DCM_DRx_DTx_FA;ALL_bc_with_context.c:81858.15-76;Process 42
BswM_Prv_Evaluate_Rule;BswM_Cfg_LE_LE_DCM_DRx_ETx_FA;ALL_bc_with_context.c:81858.15-76;Process 42
BswM_Prv_Evaluate_Rule;BswM_Cfg_LE_LE_DCM_D_NM_TX_FA;ALL_bc_with_context.c:81858.15-76;Process 42
BswM_Prv_Evaluate_Rule;BswM_Cfg_LE_LE_DCM_ERx_DTx_FA;ALL_bc_with_context.c:81858.15-76;Process 42
BswM_Prv_Evaluate_Rule;BswM_Cfg_LE_LE_DCM_ERx_ETx_FA;ALL_bc_with_context.c:81858.15-76;Process 42
