sep=;
Variable;Function;Access;Process;Data races;Shared variable;Byte offset;Location
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoExtDipo_DioGetDiagInfo;read;Process 42;no;no;all;ALL_bc_with_context.c:95953.16-32
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoDiagPs_GetDiagInfo_DummyFuncDio;write;Process 42;no;no;all;ALL_bc_with_context.c:94073.8-24
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoExtCj970_DioGetDiagInfo;write;Process 42;no;no;all;ALL_bc_with_context.c:95101.8-24
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoExtCy329_Prv_GetDiagInfo;write;Process 42;no;no;all;ALL_bc_with_context.c:95472.4-23
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoExtDipo_DioGetDiagInfo;write;Process 42;no;no;all;ALL_bc_with_context.c:95936.16-32
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoExtDipo_DioGetDiagInfo;write;Process 42;no;no;all;ALL_bc_with_context.c:95941.16-32
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoExtDipo_DioGetDiagInfo;write;Process 42;no;no;all;ALL_bc_with_context.c:95947.16-32
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoExtDipo_DioGetDiagInfo;write;Process 42;no;no;all;ALL_bc_with_context.c:95953.16-32
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoExtTle75602_Prv_GetDiagInfo;write;Process 42;no;no;all;ALL_bc_with_context.c:96460.4-20
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoDiagPs_GetDiagInfo_DummyFuncPwm;write;Process 42;no;no;all;ALL_bc_with_context.c:96923.8-24
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoExtCj970_PwmGetDiagInfo;write;Process 42;no;no;all;ALL_bc_with_context.c:97089.8-24
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoExtTle75602_Prv_GetDiagInfo;write;main-process;no;no;all;ALL_bc_with_context.c:96460.4-20
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoDiagPs_GetDiagInfo_DummyFuncPwm;write;main-process;no;no;all;ALL_bc_with_context.c:96923.8-24
xNewGetErrorInfo_u32@rba_IoDiagPs_ExeElecDiag;rba_IoExtCj970_PwmGetDiagInfo;write;main-process;no;no;all;ALL_bc_with_context.c:97089.8-24
"xMscCmdVal_uo@rba_IoExtCj970_PvmtSetOperMode@""ALL_bc_with_context.c""";rba_Msc_GetCmdVal;write;Process 42;no;no;all;ALL_bc_with_context.c:79847.8-20
"xMscCmdVal_uo@rba_IoExtCj970_PvmtSetOperMode@""ALL_bc_with_context.c""";rba_Msc_GetCmdVal;write;main-process;no;no;all;ALL_bc_with_context.c:79847.8-20
xMode_u8@rba_WdgDeadline_MainFunction;WdgM_GetMode;write;Process 42;no;no;all;ALL_bc_with_context.c:577357.4-9
xLastValCW_u8@Eep_100ms_Proc;Eep_100ms_Proc;read;Process 42;no;no;all;ALL_bc_with_context.c:372029.47-60
xLastValCW_u8@Eep_100ms_Proc;Eep_100ms_Proc;write;Process 42;no;no;all;ALL_bc_with_context.c:372035.4-17
xGlobalReInitState_e@Eep_100ms_Proc;Eep_100ms_Proc;read;Process 42;no;no;all;ALL_bc_with_context.c:372019.9-29
xGlobalReInitState_e@Eep_100ms_Proc;Eep_100ms_Proc;write;Process 42;no;no;all;ALL_bc_with_context.c:372031.7-27
xGlobalReInitState_e@Eep_100ms_Proc;Eep_100ms_Proc;write;Process 42;no;no;all;ALL_bc_with_context.c:372049.16-36
xGlobalReInitState_e@Eep_100ms_Proc;Eep_100ms_Proc;write;Process 42;no;no;all;ALL_bc_with_context.c:372068.20-40
xGlobalReInitState_e@Eep_100ms_Proc;Eep_100ms_Proc;write;Process 42;no;no;all;ALL_bc_with_context.c:372082.16-36
"xEventFailed_b@rba_IoDiagPwr_Prv_VltSplyEvlnNxtSigState___2992@""ALL_bc_with_context.c""";Dem_GetEventFailed;write;Process 42;no;no;all;ALL_bc_with_context.c:98926.9-21
"xEventFailed_b@rba_IoDiagPwr_Prv_MrlyEvlnNxtSigState___2991@""ALL_bc_with_context.c""";Dem_GetEventFailed;write;Process 42;no;no;all;ALL_bc_with_context.c:98926.9-21
"xEventFailed_b@rba_IoDiagPs_RstDemEventDebounceStatus___2980@""ALL_bc_with_context.c""";Dem_GetEventFailed;write;Process 42;no;no;all;ALL_bc_with_context.c:98926.9-21
"xEventFailed_b@rba_IoDiagPs_RstDemEventDebounceStatus___2980@""ALL_bc_with_context.c""";Dem_GetEventFailed;write;main-process;no;no;all;ALL_bc_with_context.c:98926.9-21
"xEventFailed_b@rba_IoDiagPs_EvlnNxtSigState___2980@""ALL_bc_with_context.c""";Dem_GetEventFailed;write;Process 42;no;no;all;ALL_bc_with_context.c:98926.9-21
"xEventFailed_b@rba_IoDiagPs_EvlnNxtSigState___2980@""ALL_bc_with_context.c""";Dem_GetEventFailed;write;main-process;no;no;all;ALL_bc_with_context.c:98926.9-21
xError_u8@rba_IoExtDipo_evalDiagSequence;rba_IoExtDipo_Prv_EvalAdcParam;read;Process 42;no;no;all;ALL_bc_with_context.c:536117.12-23
xError_u8@rba_IoExtDipo_evalDiagSequence;rba_IoExtDipo_Prv_EvalAdcParam;read;Process 42;no;no;all;ALL_bc_with_context.c:536155.12-23
xError_u8@rba_IoExtDipo_evalDiagSequence;rba_IoExtDipo_Prv_EvalAdcParam;read;Process 42;no;no;all;ALL_bc_with_context.c:536193.12-23
xError_u8@rba_IoExtDipo_evalDiagSequence;rba_IoExtDipo_Prv_EvalAdcParam;write;Process 42;no;no;all;ALL_bc_with_context.c:536117.12-23
xError_u8@rba_IoExtDipo_evalDiagSequence;rba_IoExtDipo_Prv_EvalAdcParam;write;Process 42;no;no;all;ALL_bc_with_context.c:536155.12-23
xError_u8@rba_IoExtDipo_evalDiagSequence;rba_IoExtDipo_Prv_EvalAdcParam;write;Process 42;no;no;all;ALL_bc_with_context.c:536193.12-23
"XcpPacket@Xcp_SendResTxConf___1770@""ALL_bc_with_context.c""";CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[0,3];ALL_bc_with_context.c:125096.23-49
"XcpPacket@Xcp_SendResTxConf___1770@""ALL_bc_with_context.c""";CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125169.19-44
"XcpPacket@Xcp_SendResTxConf___1770@""ALL_bc_with_context.c""";CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125175.33-58
"XcpPacket@Xcp_SendResTxConf___1770@""ALL_bc_with_context.c""";CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125232.24-49
"XcpPacket@Xcp_SendResTxConf___1770@""ALL_bc_with_context.c""";CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125238.37-62
"XcpPacket@Xcp_SendResTxConf___1770@""ALL_bc_with_context.c""";CanIf_XCore_LocalCore_Transmit;read;Process 42;no;no;[4,5];ALL_bc_with_context.c:125256.19-44
